ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
32	0	0	0.6	0.6	15.80	11.80	26.60	22.60
33	0	0	0.6	0.6	16.40	12.40	26.60	22.60
34	0	0	0.6	0.6	17.00	13.00	26.60	22.60
35	0	0	0.6	0.6	17.60	13.60	26.60	22.60
36	0	0	0.6	0.6	18.20	14.20	26.60	22.60
37	0	0	0.6	0.6	18.80	14.80	26.60	22.60
38	0	0	0.6	0.6	19.40	15.40	26.60	22.60
39	0	0	0.6	0.6	20.00	16.00	26.60	22.60
40	0	0	0.6	0.6	20.60	16.60	26.60	22.60
41	0	0	0.6	0.6	21.20	17.20	26.60	22.60
42	0	0	0.6	0.6	21.80	17.80	26.60	22.60
43	0	0	0.6	0.6	22.40	18.40	26.60	22.60
44	0	0	0.6	0.6	23.00	19.00	26.60	22.60
45	0	0	0.6	0.6	23.60	19.60	26.60	22.60
46	0	0	0.6	0.6	24.20	20.20	26.60	22.60
47	0	0	0.6	0.6	24.80	20.80	26.60	22.60
48	0	0	0.6	0.6	25.40	21.40	26.60	22.60
49	0	0	0.6	0.6	26.00	22.00	26.60	22.60
50	0	0	0.6	0.6	26.60	22.60	26.60	22.60
ROUND_NO8	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	29.60	29.60
2	0	0	0.6	0.6	0.80	0.80	29.60	29.60
3	0	0	0.6	0.6	1.40	1.40	29.60	29.60
4	0	0	0.6	0.6	2.00	2.00	29.60	29.60
5	0	0	0.6	0.6	2.60	2.60	29.60	29.60
6	0	0	0.6	0.6	3.20	3.20	29.60	29.60
7	0	0	0.6	0.6	3.80	3.80	29.60	29.60
8	0	0	0.6	0.6	4.40	4.40	29.60	29.60
9	0	0	0.6	0.6	5.00	5.00	29.60	29.60
10	0	0	0.6	0.6	5.60	5.60	29.60	29.60
11	0	0	0.6	0.6	6.20	6.20	29.60	29.60
12	0	0	0.6	0.6	6.80	6.80	29.60	29.60
13	0	0	0.6	0.6	7.40	7.40	29.60	29.60
14	0	0	0.6	0.6	8.00	8.00	29.60	29.60
15	0	0	0.6	0.6	8.60	8.60	29.60	29.60
16	0	0	0.6	0.6	9.20	9.20	29.60	29.60
17	0	0	0.6	0.6	9.80	9.80	29.60	29.60
18	0	0	0.6	0.6	10.40	10.40	29.60	29.60
19	0	0	0.6	0.6	11.00	11.00	29.60	29.60
20	0	0	0.6	0.6	11.60	11.60	29.60	29.60
21	0	0	0.6	0.6	12.20	12.20	29.60	29.60
22	0	0	0.6	0.6	12.80	12.80	29.60	29.60
23	0	0	0.6	0.6	13.40	13.40	29.60	29.60
24	0	0	0.6	0.6	14.00	14.00	29.60	29.60
25	0	0	0.6	0.6	14.60	14.60	29.60	29.60
26	0	0	0.6	0.6	15.20	15.20	29.60	29.60
27	0	0	0.6	0.6	15.80	15.80	29.60	29.60
28	0	0	0.6	0.6	16.40	16.40	29.60	29.60
29	0	0	0.6	0.6	17.00	17.00	29.60	29.60
30	0	0	0.6	0.6	17.60	17.60	29.60	29.60
31	0	0	0.6	0.6	18.20	18.20	29.60	29.60
32	0	0	0.6	0.6	18.80	18.80	29.60	29.60
33	0	0	0.6	0.6	19.40	19.40	29.60	29.60
34	0	0	0.6	0.6	20.00	20.00	29.60	29.60
35	0	0	0.6	0.6	20.60	20.60	29.60	29.60
36	0	0	0.6	0.6	21.20	21.20	29.60	29.60
37	0	0	0.6	0.6	21.80	21.80	29.60	29.60
38	0	0	0.6	0.6	22.40	22.40	29.60	29.60
39	0	0	0.6	0.6	23.00	23.00	29.60	29.60
40	0	0	0.6	0.6	23.60	23.60	29.60	29.60
41	0	0	0.6	0.6	24.20	24.20	29.60	29.60
42	0	0	0.6	0.6	24.80	24.80	29.60	29.60
43	0	0	0.6	0.6	25.40	25.40	29.60	29.60
44	0	0	0.6	0.6	26.00	26.00	29.60	29.60
45	0	0	0.6	0.6	26.60	26.60	29.60	29.60
46	0	0	0.6	0.6	27.20	27.20	29.60	29.60
47	0	0	0.6	0.6	27.80	27.80	29.60	29.60
48	0	0	0.6	0.6	28.40	28.40	29.60	29.60
49	0	0	0.6	0.6	29.00	29.00	29.60	29.60
50	0	0	0.6	0.6	29.60	29.60	29.60	29.60
ROUND_NO9	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	24.80	27.80
2	1	1	0.2	0.2	1.20	0.20	24.80	27.80
3	1	1	0.2	0.2	1.40	0.40	24.80	27.80
4	0	1	0	1	1.40	1.40	24.80	27.80
5	1	1	0.2	0.2	1.60	1.60	24.80	27.80
6	1	1	0.2	0.2	1.80	1.80	24.80	27.80
7	0	1	0	1	1.80	2.80	24.80	27.80
8	1	1	0.2	0.2	2.00	3.00	24.80	27.80
9	0	1	0	1	2.00	4.00	24.80	27.80
10	1	1	0.2	0.2	2.20	4.20	24.80	27.80
11	1	1	0.2	0.2	2.40	4.40	24.80	27.80
12	0	1	0	1	2.40	5.40	24.80	27.80
13	1	1	0.2	0.2	2.60	5.60	24.80	27.80
14	0	0	0.6	0.6	3.20	6.20	24.80	27.80
15	0	0	0.6	0.6	3.80	6.80	24.80	27.80
16	0	0	0.6	0.6	4.40	7.40	24.80	27.80
17	0	0	0.6	0.6	5.00	8.00	24.80	27.80
18	0	0	0.6	0.6	5.60	8.60	24.80	27.80
19	0	0	0.6	0.6	6.20	9.20	24.80	27.80
20	0	0	0.6	0.6	6.80	9.80	24.80	27.80
21	0	0	0.6	0.6	7.40	10.40	24.80	27.80
22	0	0	0.6	0.6	8.00	11.00	24.80	27.80
23	0	0	0.6	0.6	8.60	11.60	24.80	27.80
24	0	0	0.6	0.6	9.20	12.20	24.80	27.80
25	0	0	0.6	0.6	9.80	12.80	24.80	27.80
26	0	0	0.6	0.6	10.40	13.40	24.80	27.80
27	0	0	0.6	0.6	11.00	14.00	24.80	27.80
28	0	0	0.6	0.6	11.60	14.60	24.80	27.80
29	0	0	0.6	0.6	12.20	15.20	24.80	27.80
30	0	0	0.6	0.6	12.80	15.80	24.80	27.80
31	0	0	0.6	0.6	13.40	16.40	24.80	27.80
32	0	0	0.6	0.6	14.00	17.00	24.80	27.80
33	0	0	0.6	0.6	14.60	17.60	24.80	27.80
34	0	0	0.6	0.6	15.20	18.20	24.80	27.80
35	0	0	0.6	0.6	15.80	18.80	24.80	27.80
36	0	0	0.6	0.6	16.40	19.40	24.80	27.80
37	0	0	0.6	0.6	17.00	20.00	24.80	27.80
38	0	0	0.6	0.6	17.60	20.60	24.80	27.80
39	0	0	0.6	0.6	18.20	21.20	24.80	27.80
40	0	0	0.6	0.6	18.80	21.80	24.80	27.80
41	0	0	0.6	0.6	19.40	22.40	24.80	27.80
42	0	0	0.6	0.6	20.00	23.00	24.80	27.80
43	0	0	0.6	0.6	20.60	23.60	24.80	27.80
44	0	0	0.6	0.6	21.20	24.20	24.80	27.80
45	0	0	0.6	0.6	21.80	24.80	24.80	27.80
46	0	0	0.6	0.6	22.40	25.40	24.80	27.80
47	0	0	0.6	0.6	23.00	26.00	24.80	27.80
48	0	0	0.6	0.6	23.60	26.60	24.80	27.80
49	0	0	0.6	0.6	24.20	27.20	24.80	27.80
50	0	0	0.6	0.6	24.80	27.80	24.80	27.80
ROUND_NO10	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.00	21.00
2	1	1	0.2	0.2	0.80	0.80	26.00	21.00
3	1	1	0.2	0.2	1.00	1.00	26.00	21.00
4	1	1	0.2	0.2	1.20	1.20	26.00	21.00
5	1	0	1	0	2.20	1.20	26.00	21.00
6	1	1	0.2	0.2	2.40	1.40	26.00	21.00
